iter	Passed	Remaining
428	1760	3369
429	1764	3364
430	1768	3359
431	1771	3354
432	1775	3350
433	1779	3346
434	1783	3341
435	1786	3335
436	1790	3330
437	1793	3325
438	1797	3321
439	1801	3316
440	1805	3311
441	1809	3307
442	1813	3303
443	1817	3300
444	1821	3295
445	1825	3291
446	1830	3287
447	1834	3283
448	1837	3278
449	1841	3273
450	1844	3268
451	1849	3264
452	1853	3260
453	1857	3256
454	1861	3252
455	1865	3248
456	1869	3244
457	1873	3239
458	1877	3235
459	1881	3230
460	1885	3226
461	1889	3223
462	1893	3219
463	1897	3214
464	1901	3210
465	1905	3206
466	1910	3202
467	1914	3198
468	1918	3194
469	1921	3189
470	1925	3185
471	1929	3180
472	1934	3177
473	1938	3174
474	1942	3169
475	1946	3165
476	1951	3161
477	1954	3157
478	1959	3154
479	1963	3150
480	1967	3146
481	1972	3142
482	1976	3137
483	1979	3133
484	1983	3128
485	1988	3125
486	1992	3121
487	1996	3117
488	2000	3113
489	2004	3109
490	2009	3105
491	2012	3101
492	2017	3097
493	2021	3093
494	2025	3089
495	2030	3086
496	2034	3081
497	2038	3077
498	2041	3073
499	2045	3068
500	2050	3065
501	2054	3060
502	2057	3056
503	2061	3051
504	2065	3046
505	2069	3042
506	2073	3038
507	2077	3034
508	2081	3030
509	2085	3026
510	2089	3021
511	2093	3016
512	2097	3012
513	2101	3008
514	2105	3004
515	2108	2999
516	2112	2994
517	2116	2990
518	2120	2986
519	2124	2981
520	2128	2978
521	2131	2973
522	2135	2968
523	2140	2964
524	2143	2960
525	2147	2955
526	2151	2951
527	2155	2947
528	2159	2943
529	2163	2938
530	2167	2935
531	2171	2931
532	2175	2926
533	2179	2921
534	2182	2917
535	2186	2912
536	2190	2908
537	2194	2903
538	2198	2899
539	2202	2895
540	2206	2891
541	2209	2886
542	2214	2882
543	2217	2877
544	2221	2873
545	2225	2869
546	2229	2865
547	2232	2860
548	2236	2855
549	2240	2851
550	2244	2847
551	2248	2843
552	2252	2839
553	2256	2835
554	2260	2830
555	2264	2826
556	2268	2822
557	2273	2819
558	2277	2815
559	2282	2811
560	2286	2807
561	2290	2803
562	2293	2799
563	2297	2794
564	2301	2790
565	2306	2786
566	2310	2782
567	2313	2778
568	2318	2774
569	2321	2770
570	2325	2765
571	2329	2761
572	2333	2757
573	2338	2753
574	2342	2749
575	2346	2745
576	2350	2741
577	2353	2736
578	2357	2732
579	2361	2728
580	2365	2723
581	2369	2719
582	2374	2716
583	2378	2712
584	2382	2708
