iter	RMSE
180	894204.5591
181	892851.2796
182	891869.5006
183	891527.8594
184	890391.4051
185	888675.336
186	887917.707
187	886259.3236
188	884478.0886
189	883631.6537
190	882813.0058
191	881250.8027
192	880692.4421
193	880305.1898
194	879730.6336
195	878105.1346
196	876593.8972
197	875972.0125
198	875142.8861
199	874121.4344
200	872903.768
201	872216.1234
202	870744.0693
203	869824.2939
204	868283.9211
205	867676.5967
206	866381.7319
207	865176.4062
208	863649.6959
209	862286.0992
210	862067.1771
211	861204.6819
212	859505.7373
213	858595.5702
214	857244.5664
215	856164.5149
216	855626.0516
217	855094.5928
218	853760.8441
219	852760.2136
220	851751.526
221	850328.4542
222	849987.1078
223	849648.1369
224	848851.7725
225	848290.243
226	847287.5353
227	846008.0051
228	845186.1948
229	843999.0709
230	843573.9731
231	841965.1638
232	841053.4184
233	840534.7106
234	840082.8695
235	839502.0634
236	838770.7463
237	838304.2017
238	837183.8779
239	836541.1673
240	836382.2998
241	835461.391
242	834364.1857
243	833571.8971
244	832527.2398
245	831435.8404
246	830199.9697
247	829741.8261
248	829322.2927
249	828076.2348
250	827593.778
251	826669.8505
252	826222.2515
253	825831.6167
254	824421.7855
255	823301.7868
256	822674.7305
257	821835.7392
258	820859.0629
259	820028.3003
260	819176.8153
261	818720.9245
262	818065.0477
263	817384.3261
264	816682.9196
265	815316.0339
266	814690.0275
267	814238.055
268	812861.1399
269	812062.0022
270	811795.5568
271	811025.859
272	809993.0285
273	809137.0775
274	808266.1101
275	807507.3713
276	806788.4649
277	806119.3156
278	805374.7741
279	804742.7647
280	804563.1292
281	804261.4709
282	803827.5404
283	803416.5951
284	802543.7181
285	802082.1109
286	801179.8303
287	800674.1999
288	800386.7936
289	799619.1218
290	798221.4133
291	797323.2725
292	796994.4165
293	795545.5283
294	794879.5444
295	794162.6354
296	792712.3731
297	792359.827
298	791922.6917
299	791152.8248
300	790920.6411
301	790275.973
302	789160.8945
303	788658.0451
304	788211.3143
305	787475.6152
306	786791.367
307	785554.1755
308	784870.5548
309	784489.1309
310	783961.9519
311	782997.9447
312	782775.0322
313	782445.3899
314	781629.5395
315	781419.9106
316	781198.2291
317	780598.0402
318	780204.5882
319	779536.3918
320	778521.9809
321	778085.9705
322	777590.5724
323	776908.5863
324	776798.3538
325	776238.8882
326	775645.3112
327	774918.6102
328	773751.6353
329	772925.4704
330	772362.458
331	771637.0626
332	771278.0142
333	771022.5361
334	770462.0237
335	769985.1277
336	769034.5439
337	768571.5694
338	768416.818
339	767943.0309
340	767125.8279
341	766789.1529
342	766439.6855
343	765698.0257
344	764710.0343
345	764465.6613
346	763553.9343
347	763039.1732
348	762012.7036
349	761568.2019
350	760915.5861
351	760510.2265
352	760284.4535
353	759384.3422
354	759103.3453
355	758433.2478
356	758047.9345
357	757502.3727
358	756856.0866
359	755870.6752
360	755557.1773
361	754807.1299
362	754665.0886
363	754392.516
364	753893.7337
365	753379.8293
366	752576.7431
367	751882.5004
368	751658.8849
369	751300.8015
370	751027.746
371	750499.0949
372	749904.7042
373	749348.2579
374	748974.876
375	748398.8075
376	748025.3307
377	747187.4515
378	747022.2034
379	746571.8696
380	745860.7232
381	745324.9498
382	744629.0296
383	744055.0662
384	743493.1696
385	742755.2835
386	742596.5252
387	742183.6332
388	741932.1782
389	741091.3834
390	740531.1643
391	740114.8227
392	739782.9903
393	739065.0858
394	738407.9285
395	738041.3244
396	737396.2901
397	736777.0309
398	736405.429
399	736202.0557
400	735815.22
401	735234.5437
402	735196.8473
403	734368.4007
404	734056.1076
405	733416.7917
406	733175.7079
407	732200.521
408	731920.8761
409	731501.6058
410	730983.5104
411	730858.063
412	730737.4177
413	729921.3707
414	729550.1988
415	728793.8307
416	727906.2106
417	727384.9335
418	726915.4934
419	726254.7956
420	725731.8782
421	725198.7442
422	724776.9828
423	724393.6368
424	724380.3526
425	724186.0254
426	723912.304
427	723738.5102
428	723030.2073
429	722627.8728
430	722241.037
431	721355.4072
432	721187.5443
433	720793.0138
434	720429.6178
435	720294.1768
436	720063.868
437	719608.0962
438	719543.0548
439	719053.2895
440	718277.247
441	717622.1262
442	717005.4293
443	716473.8394
444	716021.8434
445	715885.4194
446	715708.0096
447	714994.9378
448	714352.2964
449	714014.0174
450	713847.129
451	713622.9488
452	713289.0042
453	712812.0903
454	712494.4252
455	712360.6706
456	712078.6293
457	711897.759
458	711659.0053
459	711193.5197
460	710737.8442
461	710657.4578
462	710359.3775
463	709541.7332
464	708974.025
465	708432.6144
466	707952.4335
467	707709.3067
468	707537.4808
469	707109.0039
470	706949.152
471	706656.541
472	706380.1354
473	705946.7454
474	705410.2071
475	705170.7741
476	704801.5279
477	704673.3169
478	704169.0558
479	704056.7061
480	703366.9541
481	702949.5209
482	702504.3228
483	702320.7761
484	701970.1363
485	701621.7273
486	701467.4593
487	701112.6068
488	700877.7461
489	700311.2467
490	699845.6463
491	699836.7879
492	699173.3124
493	698616.7927
494	698446.7378
495	698006.1841
496	697831.6197
497	697409.8686
498	696820.8667
499	696555.0565
500	696440.3078
501	696359.1528
502	696293.4852
503	695601.7163
504	695519.4864
505	695125.3353
506	694926.2998
507	694571.3582
508	694181.1307
509	694034.2978
510	693817.7281
511	693440.8461
512	693327.1581
513	693108.5133
514	692152.2813
515	691435.1224
516	691300.8716
517	690894.258
518	690742.7698
519	690516.3216
520	689923.8489
521	689523.0132
522	689057.224
523	688722.5075
524	688661.6816
525	688409.7001
526	688220.2867
527	687770.6595
528	687371.7107
529	687024.931
530	686660.3334
531	686048.6057
532	685581.4306
533	685180.9911
534	684885.7813
535	684739.1162
536	684462.3629
537	684092.2982
538	683603.4055
539	683285.1374
540	683055.4611
541	682813.9115
542	682262.7298
543	681740.1132
544	681458.3736
545	680853.8559
546	680409.3173
547	680095.7461
548	679985.4675
549	679595.114
550	679457.9499
551	678946.3291
552	678260.3047
553	678052.9739
554	677926.7652
555	677450.8056
556	676942.0675
557	676318.7787
558	675780.6895
559	675440.856
560	674997.3565
561	674929.2486
562	674553.7164
563	674371.5101
564	674140.9265
565	673463.2406
566	673205.9672
567	673088.3812
568	672618.7292
569	672301.6796
570	672163.2034
571	671951.0469
572	671619.6117
573	671383.1477
574	671031.6692
575	670863.5897
576	670392.758
577	670276.7264
578	670193.5623
579	669534.1017
580	669265.4854
581	668389.7294
582	668300.3459
583	668017.3335
584	667907.2864
585	667397.1299
586	666943.665
587	666766.2261
588	666728.0909
589	666247.3216
590	665803.1964
591	665460.2018
592	665049.41
593	664448.3523
594	664367.0454
595	664022.852
596	663812.0238
597	663797.609
598	663758.994
599	663380.6995
600	663320.3437
601	662974.0349
602	662772.0862
603	662455.3248
604	662147.4545
605	661895.4488
606	661647.9429
607	661284.7608
608	661239.4019
609	660733.3087
610	660435.1411
611	660070.8384
612	659812.8263
613	659372.4251
614	659352.7111
615	659303.6246
616	658913.4745
617	658532.2007
618	658290.8902
619	658207.3046
620	657897.7532
621	657351.6018
622	657201.7904
623	656565.0653
624	656178.6248
625	655857.2139
626	655785.8767
627	655622.2328
628	655218.0739
629	654872.501
630	654262.7998
631	653837.9543
632	653564.3939
633	653266.2884
634	653225.1767
635	653055.1502
636	652694.3691
637	652165.0875
638	651544.1814
639	651436.7549
640	651022.1954
641	650699.2969
642	650461.5687
643	650210.2557
644	649942.8416
645	649690.0501
646	649486.6309
647	649308.7755
648	648933.8373
649	648727.5902
650	648492.989
651	648402.6054
652	647965.9705
653	647829.4711
654	647649.2289
655	647295.7115
656	646628.3993
657	646382.5042
658	646162.075
659	646032.7043
660	645746.5093
661	645737.1831
662	645403.1948
663	645396.1884
664	645138.9033
665	644747.3442
666	644238.4048
667	643806.834
668	643334.691
669	643000.79
670	642672.6999
671	642585.7352
672	642463.9865
673	642099.1675
674	641906.3321
675	641814.0611
676	641653.9882
677	641564.9969
678	641044.2531
679	640871.7078
680	640547.8956
681	640469.9686
682	639970.9932
683	639964.1802
684	639795.4692
685	639493.2709
686	639481.1995
687	639281.0985
688	638814.1977
689	638295.8832
690	637781.0457
691	637642.5036
692	637288.2134
693	636990.321
694	636714.9452
695	636301.6107
696	636125.3165
697	635986.2599
698	635764.4465
699	635610.0371
700	635363.6399
701	634908.7018
702	634434.6131
703	634374.1934
704	634267.8064
705	634098.6744
706	634061.5636
707	633784.3001
708	633689.7554
709	633379.2169
710	633197.0112
711	633045.5011
712	632767.5929
713	632548.8186
714	632329.088
715	632078.7596
716	631711.9806
717	631442.8161
718	631325.9032
719	630817.0338
720	630478.0257
721	630215.1065
722	630086.1831
723	629981.2151
724	629617.6083
725	629367.7101
726	629253.4631
727	629135.0641
728	629121.3037
729	628937.3559
730	628679.0847
731	628339.5518
732	628334.2923
733	628077.4377
734	627954.4562
735	627534.9406
736	627300.3805
737	627047.4751
738	626616.6779
739	626479.3602
740	626302.6341
741	626093.5129
742	625842.2101
743	625595.1573
744	625462.3056
745	624978.4882
746	624520.6841
747	624242.2606
748	623985.247
749	623957.3984
750	623750.9893
751	623412.4647
752	623008.0954
753	622938.0429
754	622687.2805
755	622350.5765
756	621729.2315
757	621373.6634
758	621284.0532
759	620830.125
760	620680.9737
761	620468.6759
762	620321.6673
763	620308.5384
764	619968.0241
765	619482.6135
766	619050.6389
767	619002.9115
768	618632.8864
769	618097.7706
770	617855.5937
771	617755.251
772	617726.9482
773	617398.6114
774	617020.5425
775	616845.361
776	616727.5636
777	616569.8054
778	616375.1155
779	616175.1052
780	615963.943
781	615458.4262
782	615211.3262
783	614886.7526
784	614719.6273
785	614480.47
786	614208.6078
787	613863.1491
788	613720.9269
789	613512.2609
790	613213.7576
791	613114.6571
792	613082.8053
793	612931.0813
794	612688.348
795	612260.4166
796	612173.1419
797	611778.8137
798	611220.3807
799	611101.4917
800	611030.9877
801	610805.3384
802	610441.1134
803	610027.6226
804	609629.8888
805	609078.2192
806	608617.8381
807	608393.4689
808	608037.416
809	607923.7404
810	607670.5115
811	607376.7216
812	607269.7678
813	607112.9348
814	606859.2644
815	606794.0614
816	606492.273
817	606251.1451
818	605927.1416
819	605606.2814
820	605274.6202
821	604883.0168
822	604301.8098
823	604293.4384
824	604252.9126
825	604050.0197
826	603816.531
827	603722.5808
828	603536.3541
829	603360.5677
830	603049.4993
831	602581.4334
832	602408.693
833	602161.4852
834	601920.2809
835	601841.3117
836	601724.2049
837	601443.9674
838	601290.4911
839	600957.8406
840	600776.9279
841	600697.8825
842	600382.9532
843	600152.372
844	600014.7437
845	599912.0371
846	599608.1488
847	599378.5743
848	599150.0009
849	598948.7421
850	598604.1706
851	598168.1504
852	598029.2102
853	597746.6847
854	597413.7946
855	597174.9063
856	596737.5142
857	596566.8911
858	596276.1226
859	595888.1535
860	595690.7037
861	595366.6807
862	595232.0493
863	594895.9194
864	594716.6865
865	594593.2268
866	594225.5427
867	593909.4578
868	593716.5888
869	593553.0011
870	593434.813
871	593254.0474
872	593054.342
873	592883.391
874	592715.4615
875	592655.3581
876	592599.5008
877	592418.6626
878	591952.1456
879	591761.3102
880	591441.1117
881	591039.648
882	591005.3658
883	590810.3972
884	590558.3874
885	590341.8459
886	590163.1058
887	589923.7054
888	589417.5632
889	589135.1527
890	589083.8422
891	588963.4263
892	588822.6907
893	588713.8318
894	588267.0631
895	588159.9745
896	588075.9426
897	587870.2872
898	587568.1769
899	586869.6737
900	586677.5425
901	586442.4092
902	586177.6089
903	586057.7305
904	585870.1659
905	585606.536
906	585180.4437
907	584942.5492
908	584785.3592
909	584601.2283
910	584254.7736
911	584250.1578
912	584099.7119
913	583629.7422
914	583563.1497
915	583331.614
916	583267.3042
917	583129.4921
918	582898.2206
919	582507.2446
920	582403.7226
921	582251.4377
922	581997.2561
923	581756.8411
924	581616.6207
925	581436.0543
926	581285.5576
927	581060.0571
928	581049.5746
929	580507.5163
930	580251.3738
931	580127.9717
932	579950.8742
933	579916.1382
934	579791.6934
935	579694.8025
936	579437.0511
937	579233.8665
938	579181.1197
939	579077.1531
940	578936.3599
941	578689.701
942	578435.1966
943	578313.8872
944	578086.8468
945	577919.6576
946	577822.395
947	577619.2734
948	577243.3789
949	576913.0792
950	576838.1858
951	576594.8166
952	576337.4027
953	576297.9368
954	576107.025
955	576015.2555
956	575605.851
957	575280.0588
958	575162.4951
959	575072.8157
960	574849.604
961	574516.8635
962	574333.3279
963	574281.7578
964	574171.2546
965	573925.9141
966	573705.8657
967	573485.3957
968	573322.2193
969	573166.6118
970	573033.4808
971	572867.9313
972	572551.786
973	572378.2457
974	572034.6555
975	571895.1016
976	571634.9092
977	571389.3079
978	571081.4582
979	570876.6246
980	570625.1155
981	570471.3946
982	570347.6421
983	570162.146
984	569959.9645
985	569678.0317
986	569605.1189
987	569492.7949
988	569386.2311
989	569299.0079
990	569012.8639
991	568911.3529
992	568667.8267
993	568548.4272
994	568496.8221
995	568292.4409
996	568136.7419
997	568033.6174
998	567783.0784
999	567719.1766
1000	567586.7384
1001	567368.3792
1002	567190.7217
1003	567147.9191
1004	566936.8776
1005	566846.8093
1006	566528.047
1007	566405.6522
1008	566334.7564
1009	566010.7114
1010	565738.1096
1011	565566.4604
1012	565308.2479
1013	565158.0637
1014	565023.036
1015	564901.2157
1016	564668.5719
1017	564346.3802
1018	564312.822
1019	564089.1795
1020	564038.2284
1021	563893.07
1022	563679.5839
1023	563628.7655
1024	563599.575
1025	563413.3873
1026	563194.72
1027	562846.9289
1028	562780.6169
1029	562324.2154
1030	562037.4423
1031	561892.2464
1032	561856.9088
1033	561560.3026
1034	561241.3137
1035	560964.6437
1036	560837.2295
1037	560563.428
1038	560377.5077
1039	560232.1087
1040	560097.5295
1041	559891.7943
1042	559515.4977
1043	559088.6
1044	558748.1865
1045	558599.2905
1046	558481.7811
1047	558250.2493
1048	558132.3259
1049	557974.5733
1050	557788.2244
1051	557579.0113
1052	557255.4953
1053	557089.9478
1054	556638.147
1055	556411.8761
1056	556118.2157
1057	555905.2482
1058	555764.1787
1059	555490.3637
1060	555428.3444
1061	555206.1636
1062	555011.1248
1063	554911.1365
1064	554477.7784
1065	554458.2374
1066	554382.5107
1067	554267.8823
1068	554190.1962
1069	554127.1412
1070	553932.4838
1071	553630.0461
1072	553570.0148
1073	553530.4426
1074	553428.4802
1075	553274.0037
1076	552989.3766
1077	552727.2781
1078	552646.9082
1079	552500.6551
1080	552390.8759
1081	552302.5169
1082	552124.7518
1083	551787.9737
1084	551667.6999
1085	551578.8499
1086	551264.0866
1087	550951.5425
1088	550716.6728
1089	550628.0666
1090	550272.7139
1091	550158.5969
1092	549784.746
1093	549599.8207
1094	549354.5511
1095	549141.41
1096	548983.0049
1097	548879.7204
1098	548728.0707
1099	548562.0225
1100	548336.5277
1101	548078.8108
1102	547928.065
1103	547819.666
1104	547773.8475
1105	547725.0901
1106	547523.4667
1107	547434.7106
1108	547411.8751
1109	546879.2137
1110	546795.2009
1111	546584.8376
1112	546430.5839
1113	546328.6261
1114	546101.4622
1115	545917.9461
1116	545799.8134
1117	545715.7345
1118	545584.7995
1119	545319.6521
1120	545214.3262
1121	545163.6936
1122	544935.2283
1123	544775.8728
1124	544731.1347
1125	544428.9072
1126	544343.0601
1127	544230.6021
1128	544093.3001
1129	544018.1874
1130	543916.5429
1131	543640.0283
1132	543529.925
1133	543345.8523
1134	543207.896
1135	543122.2046
1136	542862.7327
1137	542734.2615
1138	542421.3398
1139	542321.8635
1140	542072.8656
1141	542056.3223
1142	542040.7894
1143	541988.1978
1144	541926.1961
1145	541752.6822
1146	541589.1495
1147	541514.9328
1148	541259.8235
1149	541063.2771
1150	540965.0153
1151	540877.2694
1152	540870.4855
1153	540559.1276
1154	540346.7686
1155	540187.9829
1156	540145.664
1157	540059.0257
1158	539910.4484
1159	539675.0079
1160	539333.4136
1161	539243.2269
1162	538952.2095
1163	538860.5787
1164	538728.8299
1165	538650.0087
1166	538495.2937
1167	538284.5188
1168	538187.0871
1169	538026.7919
1170	537806.9346
1171	537700.2843
1172	537621.1566
1173	537472.4377
1174	537410.6005
1175	537113.009
1176	537067.7055
1177	536871.3993
1178	536703.7986
1179	536635.2424
1180	536551.3081
1181	536365.6301
1182	536221.7192
1183	536164.4907
1184	536045.8241
1185	535826.6839
1186	535744.1829
1187	535608.1369
1188	535487.0908
1189	535418.4393
1190	535214.4547
1191	535134.2063
1192	534936.574
1193	534878.4972
1194	534478.879
1195	534346.5961
1196	534302.7176
1197	534156.8996
1198	534063.5771
1199	533991.5259
1200	533868.2094
1201	533728.691
1202	533578.3687
1203	533450.5265
1204	533336.1341
1205	533255.7421
1206	533199.1009
1207	533126.0067
1208	532939.8982
1209	532771.9725
1210	532669.7276
1211	532480.1901
1212	532244.7014
1213	532096.9594
1214	531923.0874
1215	531793.4211
1216	531721.4105
1217	531556.4952
1218	531494.1605
1219	531374.8167
1220	531210.0603
1221	530972.0278
1222	530820.4341
1223	530766.4803
1224	530379.8554
1225	530286.9175
1226	530096.2247
1227	530022.6258
1228	529968.0771
1229	529878.1348
1230	529744.789
1231	529648.5339
1232	529260.598
1233	529160.2856
1234	529069.0067
1235	528949.4964
1236	528751.9501
1237	528648.0404
1238	528486.3116
1239	528408.7348
1240	528072.1239
1241	527968.438
1242	527777.7944
1243	527718.5064
1244	527621.0286
1245	527506.3372
1246	527366.9007
1247	527189.8008
1248	527130.9196
1249	526962.8216
